Source,Target,Type,Weight
Siloah,Balaclava,Undirected,1
Siloah,Black River,Undirected,1
Siloah,Brompton,Undirected,1
Siloah,Cambridge,Undirected,1
Siloah,Coleyville,Undirected,1
Southfield,Alligator Pond,Undirected,1
Southfield,Bull Savanna,Undirected,1
Southfield,Lacovia,Undirected,1
Southfield,Malvern,Undirected,1
Southfield,Nain,Undirected,1
Spanish Town,Above Rocks,Undirected,1
Spanish Town,Bog Walk,Undirected,1
Spanish Town,Constant Spring,Undirected,1
Spanish Town,Ewarton,Undirected,1
Spanish Town,Linstead,Undirected,1
Stony Hill,Above Rocks,Undirected,1
Stony Hill,Annotto Bay,Undirected,1
Stony Hill,Buff Bay,Undirected,1
Stony Hill,Constant Spring,Undirected,1
Stony Hill,Gordon Town,Undirected,1
Stony Hill,Mavis Bank,Undirected,1
Trinity Ville,Bath,Undirected,1
Trinity Ville,Easington,Undirected,1
Trinity Ville,Gordon Town,Undirected,1
Trinity Ville,Mavis Bank,Undirected,1
Trinity Ville,Moore Town,Undirected,1
Trinity Ville,Morant Bay,Undirected,1
Ulster Spring,Albert Town,Undirected,1
Ulster Spring,Alexandria,Undirected,1
Ulster Spring,Balaclava,Undirected,1
Ulster Spring,Brown's Town,Undirected,1
Ulster Spring,Cave Valley,Undirected,1
Ulster Spring,Christiana,Undirected,1
Wakefield,Albert Town,Undirected,1
Wakefield,Anchovy,Undirected,1
Wakefield,Cambridge,Undirected,1
Wakefield,Clark's Town,Undirected,1
Wakefield,Duncans,Undirected,1
Wakefield,Falmouth,Undirected,1
White House,Bethel Town,Undirected,1
White House,Black River,Undirected,1
White House,Bluefields,Undirected,1
White House,Brompton,Undirected,1
White House,Darliston,Undirected,1
White House,Lacovia,Undirected,1
Williamsfield,Alligator Pond,Undirected,1
Williamsfield,Balaclava,Undirected,1
Williamsfield,Bull Savanna,Undirected,1
Williamsfield,Chapelton,Undirected,1
Williamsfield,Christiana,Undirected,1
Williamsfield,Coleyville,Undirected,1
Yallahs,Bath,Undirected,1
Yallahs,Easington,Undirected,1
Yallahs,Gordon Town,Undirected,1
Yallahs,Mavis Bank,Undirected,1
Yallahs,Morant Bay,Undirected,1
Yallahs,Seaforth,Undirected,1
Grantham,Mineral Heights,Undirected,1
Grantham,May Pen Proper,Undirected,1
Grantham,Longwood,Undirected,1
Grantham,Kitson Town,Undirected,1
Grantham,St. John's West,Undirected,1
Mineral Heights,Grantham,Undirected,1
Mineral Heights,May Pen Proper,Undirected,1
Mineral Heights,Longwood,Undirected,1
Mineral Heights,Kitson Town,Undirected,1
Mineral Heights,St. John's West,Undirected,1
May Pen Proper,Grantham,Undirected,1
May Pen Proper,Mineral Heights,Undirected,1
May Pen Proper,Longwood,Undirected,1
May Pen Proper,Macknie,Undirected,1
Longwood,Grantham,Undirected,1
Longwood,Mineral Heights,Undirected,1
Longwood,May Pen Proper,Undirected,1
Copse,East Down Town,Undirected,1
Copse,Denham Town,Undirected,1
Copse,Central Down Town,Undirected,1
Copse,Passmore Town,Undirected,1
Copse,Rollington Town,Undirected,1
Copse,West Down Town,Undirected,1
Logwood,Cacoon,Undirected,1
Logwood,Orange Bay,Undirected,1
Logwood,Kingsvale,Undirected,1
Logwood,Dias,Undirected,1
Logwood,Jericho,Undirected,1
Logwood,Lucea West,Undirected,1
Cacoon,Logwood,Undirected,1
Cacoon,Orange Bay,Undirected,1
Cacoon,Ramble,Undirected,1
Cacoon,Kingsvale,Undirected,1
Cacoon,Dias,Undirected,1
Orange Bay,Logwood,Undirected,1
Orange Bay,Cacoon,Undirected,1
Orange Bay,Kingsvale,Undirected,1
Orange Bay,Dias,Undirected,1
Ramble,Cacoon,Undirected,1
Ramble,Kingsvale,Undirected,1
Ramble,Dias,Undirected,1
Ramble,Jericho,Undirected,1
Ramble,Lucea West,Undirected,1
Kingsvale,Logwood,Undirected,1
Kingsvale,Cacoon,Undirected,1
Dias,Logwood,Undirected,1
Dias,Cacoon,Undirected,1
Jericho,Logwood,Undirected,1
Jericho,Cacoon,Undirected,1
Jericho,Orange Bay,Undirected,1
Jericho,Ramble,Undirected,1
Rock Spring,Cacoon Castle,Undirected,1
Lucea West,Logwood,Undirected,1
Lucea West,Cacoon,Undirected,1
Lucea West,Orange Bay,Undirected,1
Lucea West,Ramble,Undirected,1
Askenish,Logwood,Undirected,1
Askenish,Cacoon,Undirected,1
Askenish,Orange Bay,Undirected,1
Askenish,Ramble,Undirected,1
Askenish,Kingsvale,Undirected,1
Askenish,Dias,Undirected,1
Lucea East,Logwood,Undirected,1
Lucea East,Cacoon,Undirected,1
Lucea East,Orange Bay,Undirected,1
Lucea East,Ramble,Undirected,1
Lucea East,Kingsvale,Undirected,1
Lucea East,Dias,Undirected,1
Lances Bay,Logwood,Undirected,1
Lances Bay,Cacoon,Undirected,1
Lances Bay,Orange Bay,Undirected,1
Lances Bay,Kingsvale,Undirected,1
Lances Bay,Dias,Undirected,1
Lances Bay,Jericho,Undirected,1
Great Valley,Logwood,Undirected,1
Great Valley,Cacoon,Undirected,1
Great Valley,Ramble,Undirected,1
Great Valley,Kingsvale,Undirected,1
Great Valley,Dias,Undirected,1
Great Valley,Jericho,Undirected,1
Cousins Cove,Logwood,Undirected,1
Cousins Cove,Cacoon,Undirected,1
Cousins Cove,Orange Bay,Undirected,1
Cousins Cove,Kingsvale,Undirected,1
