Source,Target,Type,Weight
Frankfield,Coleyville,Undirected,1
Frankfield,Croft's Hill,Undirected,1
Frankfield,Kellits,Undirected,1
Frankfield,Lluidas Vale,Undirected,1
Frankfield,Mandeville,Undirected,1
Frankfield,May Pen,Undirected,1
Frankfield,Osbourne Store,Undirected,1
Frankfield,Porus,Undirected,1
Frankfield,Sanguinetti,Undirected,1
Frankfield,Seaford Town,Undirected,1
Frome,Bethel Town,Undirected,1
Frome,Bluefields,Undirected,1
Frome,Cascade,Undirected,1
Frome,Darliston,Undirected,1
Frome,Grange Hill,Undirected,1
Frome,Hopewell,Undirected,1
Frome,Little London,Undirected,1
Frome,Lucea,Undirected,1
Frome,Negril,Undirected,1
Frome,Petersfield,Undirected,1
Frome,Sandy Bay,Undirected,1
Gayle,Claremont,Undirected,1
Gayle,Ewarton,Undirected,1
Gayle,Guy's Hill,Undirected,1
Gayle,Highgate,Undirected,1
Gayle,Islington,Undirected,1
Gayle,Linstead,Undirected,1
Gayle,Lucky Hill,Undirected,1
Gayle,Moneague,Undirected,1
Gayle,Ocho Rios,Undirected,1
Gayle,Oracabessa,Undirected,1
Gayle,Port Maria,Undirected,1
Gayle,Richmond,Undirected,1
Gayle,Riversdale,Undirected,1
Golden Grove,Bath,Undirected,1
Golden Grove,Dalvey,Undirected,1
Golden Grove,Manchioneal,Undirected,1
Golden Grove,Moore Town,Undirected,1
Golden Grove,Morant Bay,Undirected,1
Golden Grove,Seaforth,Undirected,1
Gordon Town,Above Rocks,Undirected,1
Gordon Town,Buff Bay,Undirected,1
Gordon Town,Constant Spring,Undirected,1
Gordon Town,Easington,Undirected,1
Gordon Town,Hope Bay,Undirected,1
Gordon Town,Kingston,Undirected,1
Gordon Town,Mavis Bank,Undirected,1
Gordon Town,Port Royal,Undirected,1
Gordon Town,Portmore,Undirected,1
Gordon Town,Stony Hill,Undirected,1
Gordon Town,Trinity Ville,Undirected,1
Gordon Town,Yallahs,Undirected,1
Grange Hill,Cascade,Undirected,1
Grange Hill,Frome,Undirected,1
Grange Hill,Hopewell,Undirected,1
Grange Hill,Little London,Undirected,1
Grange Hill,Lucea,Undirected,1
Grange Hill,Negril,Undirected,1
Grange Hill,Petersfield,Undirected,1
Grange Hill,Sandy Bay,Undirected,1
Guy's Hill,Above Rocks,Undirected,1
Guy's Hill,Annotto Bay,Undirected,1
Guy's Hill,Bog Walk,Undirected,1
Guy's Hill,Claremont,Undirected,1
Guy's Hill,Ewarton,Undirected,1
Guy's Hill,Gayle,Undirected,1
