Id,Label,timeset,modularity_class,Degree,lat,long,parish,population
Greenwich Town/ Newport West,Greenwich Town/ Newport West,,0,5,17.96757,-76.804737,Saint Andrew,5854.5
Tower Hill,Tower Hill,,0,5,18.010439,-76.829911,Saint Andrew,5854.5
Trench Town,Trench Town,,0,5,17.98579,-76.804335,Saint Andrew,5854.5
Waterhouse,Waterhouse,,0,5,18.028568,-76.843746,Saint Andrew,5854.5
Grants Pen,Grants Pen,,0,5,18.031638,-76.790952,Saint Andrew,5854.5
Whitehall,Whitehall,,0,5,18.038067,-76.809234,Saint Andrew,5854.5
Havendale,Havendale,,3,5,18.051639,-76.811546,Saint Andrew,5854.5
Barbican,Barbican,,0,5,18.025612,-76.771163,Saint Andrew,5854.5
Cavaliers,Cavaliers,,3,5,18.094858,-76.835327,Saint Andrew,5854.5
Roehampton,Roehampton,,0,5,18.042897,-76.80758,Saint Andrew,5854.5
Cross Roads,Cross Roads,,0,5,17.992832,-76.790635,Saint Andrew,5854.5
Pembroke Hall,Pembroke Hall,,0,5,18.029593,-76.828849,Saint Andrew,5854.5
Kencot,Kencot,,0,5,18.002619,-76.795682,Saint Andrew,5854.5
Vineyard Town,Vineyard Town,,0,5,17.989808,-76.778375,Saint Andrew,5854.5
Hope Tavern,Hope Tavern,,0,5,18.014586,-76.740749,Saint Andrew,5854.5
Drewsland,Drewsland,,0,5,18.024075,-76.830252,Saint Andrew,5854.5
Beverley Hills,Beverley Hills,,0,5,18.007787,-76.765392,Saint Andrew,5854.5
Patrick City,Patrick City,,0,5,18.031741,-76.838941,Saint Andrew,5854.5
Liguanea,Liguanea,,0,5,18.014748,-76.761065,Saint Andrew,5854.5
Hermitage,Hermitage,,0,5,17.993966,-76.743099,Saint Andrew,5854.5
Kintyre,Kintyre,,0,5,18.012346,-76.737282,Saint Andrew,5854.5
Cassia Park,Cassia Park,,0,5,18.020288,-76.807942,Saint Andrew,5854.5
Three Oaks/ Glendale,Three Oaks/ Glendale,,0,5,18.030895,-76.825648,Saint Andrew,5854.5
Whitfield Town,Whitfield Town,,0,5,17.994701,-76.80722,Saint Andrew,5854.5
Cherry Gardens,Cherry Gardens,,0,5,18.043437,-76.776932,Saint Andrew,5854.5
Half-Way-Tree,Half-Way-Tree,,0,5,18.00231,-76.792093,Saint Andrew,5854.5
Boucher Park,Boucher Park,,3,5,18.062488,-76.758457,Saint Andrew,5854.5
Molynes Four Roads,Molynes Four Roads,,0,5,18.012709,-76.801669,Saint Andrew,5854.5
Hope Pastures/ UTECH,Hope Pastures/ UTECH,,0,5,18.018682,-76.744474,Saint Andrew,5854.5
Eastwood Park Gardens,Eastwood Park Gardens,,0,5,18.015456,-76.798445,Saint Andrew,5854.5
August Town,August Town,,0,5,17.993023,-76.740867,Saint Andrew,5854.5
Golden Spring,Golden Spring,,3,5,18.09016,-76.801451,Saint Andrew,5854.5
Cockburn Gardens,Cockburn Gardens,,0,5,18.011768,-76.823082,Saint Andrew,5854.5
Molynes Gardens,Molynes Gardens,,0,5,18.034608,-76.817314,Saint Andrew,5854.5
Duhaney Park,Duhaney Park,,0,5,18.029629,-76.850474,Saint Andrew,5854.5
Oaklands,Oaklands,,0,5,18.035682,-76.796043,Saint Andrew,5854.5
Hughenden,Hughenden,,0,5,18.031415,-76.818395,Saint Andrew,5854.5
Marverley,Marverley,,0,5,18.014311,-76.809026,Saint Andrew,5854.5
Richmond Park,Richmond Park,,0,5,18.005164,-76.811546,Saint Andrew,5854.5
Forest Hills/ Plantation Height,Forest Hills/ Plantation Height,,0,5,18.041663,-76.856527,Saint Andrew,5854.5
Jones Town,Jones Town,,0,5,17.986069,-76.797846,Saint Andrew,5854.5
Arlene Gardens,Arlene Gardens,,0,5,18.036973,-76.824646,Saint Andrew,5854.5
Queensborough/ Tunbridge,Queensborough/ Tunbridge,,0,5,18.040034,-76.825525,Saint Andrew,5854.5
Mountain View Gardens,Mountain View Gardens,,0,5,17.986107,-76.766835,Saint Andrew,5854.5
Zaidie Gardens,Zaidie Gardens,,0,5,18.024342,-76.815872,Saint Andrew,5854.5
Trafalgar Park,Trafalgar Park,,0,5,18.011311,-76.784866,Saint Andrew,5854.5
Washington Gardens,Washington Gardens,,0,5,18.023423,-76.844708,Saint Andrew,5854.5
Drumblair,Drumblair,,0,5,18.026377,-76.789688,Saint Andrew,5854.5
Waltham Gardens,Waltham Gardens,,0,5,18.01235,-76.813414,Saint Andrew,5854.5
Woodford Park,Woodford Park,,0,5,17.984875,-76.780538,Saint Andrew,5854.5
Papine,Papine,,0,5,18.011598,-76.736538,Saint Andrew,5854.5
Bloxborough,Bloxborough,,3,5,18.059877,-76.756397,Saint Andrew,5854.5
Parry Town,Parry Town,,3,5,18.39452,-77.109599,Saint Ann,4601.2
Discovery Bay,Discovery Bay,,1,5,18.458202,-77.39847,Saint Ann,4601.2
Browns Town,Browns Town,,1,5,18.389459,-77.372638,Saint Ann,4601.2
Macknie,Macknie,,1,5,18.192827,-77.250484,Saint Ann,4601.2
Hinds Town,Hinds Town,,1,5,18.348784,-77.239577,Saint Ann,4601.2
Exchange,Exchange,,3,5,18.408173,-77.069562,Saint Ann,4601.2
Steer Town,Steer Town,,1,5,18.413123,-77.162896,Saint Ann,4601.2
St. Ann's Bay,St. Ann's Bay,,1,5,18.432947,-77.1974,Saint Ann,4601.2
Priory,Priory,,1,5,18.439175,-77.224708,Saint Ann,4601.2
Philadelphia,Philadelphia,,1,5,18.39317,-77.31952,Saint Ann,4601.2
York Castle,York Castle,,1,5,18.388052,-77.364536,Saint Ann,4601.2
Lime Hall,Lime Hall,,1,5,18.428506,-77.203429,Saint Ann,4601.2
Cole Gate,Cole Gate,,3,5,18.357073,-77.090049,Saint Ann,4601.2
Braeton,Braeton,,0,5,17.949508,-76.889391,Saint Catherine,22656.363636
Spanish Town Central,Spanish Town Central,,0,5,18.019317,-76.975827,Saint Catherine,22656.363636
Cromarty,Cromarty,,0,5,17.9827,-76.971507,Saint Catherine,22656.363636
Hellshire,Hellshire,,6,5,17.897913,-76.894074,Saint Catherine,22656.363636
Greater Portmore,Greater Portmore,,0,5,17.94798,-76.909565,Saint Catherine,22656.363636
Bogwalk,Bogwalk,,0,5,18.105767,-77.007506,Saint Catherine,22656.363636
Hampton Green,Hampton Green,,0,5,18.002845,-76.968627,Saint Catherine,22656.363636
Sligoville,Sligoville,,0,5,18.093398,-76.975667,Saint Catherine,22656.363636
Greendale,Greendale,,0,5,17.996237,-76.945172,Saint Catherine,22656.363636
Ensom,Ensom,,0,5,18.011945,-76.963586,Saint Catherine,22656.363636
Naggo Head,Naggo Head,,0,5,17.968093,-76.885067,Saint Catherine,22656.363636
Willowdene,Willowdene,,0,5,17.995106,-76.983028,Saint Catherine,22656.363636
Golden Acres,Golden Acres,,0,5,18.022518,-76.978427,Saint Catherine,22656.363636
Bridgeport,Bridgeport,,0,5,17.96189,-76.879303,Saint Catherine,22656.363636
Gregory Park,Gregory Park,,0,5,17.998693,-76.886508,Saint Catherine,22656.363636
Old Harbour Road,Old Harbour Road,,0,5,17.980318,-76.998926,Saint Catherine,22656.363636
Central Village,Central Village,,0,5,18.000664,-76.915328,Saint Catherine,22656.363636
Kitson Town,Kitson Town,,6,5,18.018148,-77.052309,Saint Catherine,22656.363636
Waterford,Waterford,,0,5,17.98744,-76.870655,Saint Catherine,22656.363636
Keystone,Keystone,,0,5,18.018513,-76.942701,Saint Catherine,22656.363636
St. John's East,St. John's East,,0,5,18.005143,-76.966906,Saint Catherine,22656.363636
Troja,Troja,,0,5,18.208967,-76.922532,Saint Catherine,22656.363636
Crescent,Crescent,,0,5,18.008796,-77.00368,Saint Catherine,22656.363636
St. John's West,St. John's West,,0,5,18.004432,-77.034857,Saint Catherine,22656.363636
Cumberland,Cumberland,,0,5,17.97661,-76.882185,Saint Catherine,22656.363636
Passage Fort,Passage Fort,,0,5,17.981236,-76.864889,Saint Catherine,22656.363636
Edgewater,Edgewater,,0,5,17.964203,-76.870655,Saint Catherine,22656.363636
Independence City,Independence City,,0,5,17.982148,-76.881187,Saint Catherine,22656.363636
Glengoffe,Glengoffe,,3,5,18.141852,-76.887229,Saint Catherine,22656.363636
Treasure Beach,Treasure Beach,,4,5,17.881749,-77.759513,Saint Elizabeth,3163.8
Bigwoods,Bigwoods,,4,5,17.937066,-77.713731,Saint Elizabeth,3163.8
Thornton,Thornton,,4,5,18.173463,-77.725353,Saint Elizabeth,3163.8
Slipe,Slipe,,4,5,18.046656,-77.788118,Saint Elizabeth,3163.8
Rose Hall,Rose Hall,,4,5,17.931334,-77.646955,Saint Elizabeth,3163.8
Junction,Junction,,4,5,17.899982,-77.604711,Saint Elizabeth,3163.8
Pisgah,Pisgah,,2,5,18.204446,-77.879617,Saint Elizabeth,3163.8
Braes River,Braes River,,4,5,18.080271,-77.647368,Saint Elizabeth,3163.8
Goshen,Goshen,,4,5,18.078846,-77.69942,Saint Elizabeth,3163.8
Ballards  Valley,Ballards  Valley,,4,5,17.897222,-77.613056,Saint Elizabeth,3163.8
Pedro Plains,Pedro Plains,,4,5,17.891718,-77.728331,Saint Elizabeth,3163.8
Watchwell,Watchwell,,4,5,17.935705,-77.760944,Saint Elizabeth,3163.8
Leeds,Leeds,,4,5,18.018349,-77.69012,Saint Elizabeth,3163.8
Giddy Hall,Giddy Hall,,4,5,18.111408,-77.860846,Saint Elizabeth,3163.8
Pepper,Pepper,,4,5,18.050308,-77.640726,Saint Elizabeth,3163.8
Middle Quarters,Middle Quarters,,4,5,18.102018,-77.833869,Saint Elizabeth,3163.8
Top Hill,Top Hill,,4,5,17.892578,-77.637542,Saint Elizabeth,3163.8
Lititz,Lititz,,4,5,17.941642,-77.580584,Saint Elizabeth,3163.8
Bull Savannah,Bull Savannah,,4,5,17.884618,-77.595062,Saint Elizabeth,3163.8
Aberdeen,Aberdeen,,4,5,18.198852,-77.708006,Saint Elizabeth,3163.8
Red Bank,Red Bank,,4,5,17.927427,-77.629677,Saint Elizabeth,3163.8
Holland,Holland,,4,5,18.06562,-77.757854,Saint Elizabeth,3163.8
Brighton,Brighton,,8,2,42.305881,-71.116965,Saint Elizabeth,3163.8
Newton,Newton,,8,2,42.305211,-71.108729,Saint Elizabeth,3163.8
Hopeton,Hopeton,,0,5,17.995202,-76.925897,Saint Elizabeth,3163.8
West Green,West Green,,2,5,18.460884,-77.925303,Saint James,26543.5
Catherine Hall,Catherine Hall,,2,5,18.461236,-77.921745,Saint James,26543.5
Rose Heights,Rose Heights,,2,5,18.476223,-77.89389,Saint James,26543.5
Down Town Montego Bay,Down Town Montego Bay,,2,5,18.476223,-77.89389,Saint James,26543.5
Brandon Hill,Brandon Hill,,2,5,18.475773,-77.911032,Saint James,26543.5
Orange,Orange,,2,5,18.480123,-77.922791,Saint James,26543.5
Granville,Granville,,2,5,18.445859,-77.898175,Saint James,26543.5
Bogue,Bogue,,2,5,18.441496,-77.923856,Saint James,26543.5
Pitfour,Pitfour,,2,5,18.442003,-77.896157,Saint James,26543.5
Norwood,Norwood,,2,5,18.492567,-77.90276,Saint James,26543.5
Mount Salem,Mount Salem,,2,5,18.466837,-77.906747,Saint James,26543.5
Albion,Albion,,2,5,18.482164,-77.918174,Saint James,26543.5
Flankers,Flankers,,2,5,18.504223,-77.898175,Saint James,26543.5
Unity Hall,Unity Hall,,2,5,18.448071,-77.978148,Saint James,26543.5
Dumfries,Dumfries,,2,5,18.422406,-77.76526,Saint James,26543.5
John's Hall,John's Hall,,2,5,18.419571,-77.852451,Saint James,26543.5
Catadupa,Catadupa,,2,5,18.279485,-77.873886,Saint James,26543.5
Somerton,Somerton,,2,5,18.429898,-77.788121,Saint James,26543.5
