Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight,Recovery Weight,Log Recovery Weight
Liguanea,Liguanea,,18.014748,-76.761065,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Hermitage,Hermitage,,17.993966,-76.743099,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Kintyre,Kintyre,,18.012346,-76.737282,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Cassia Park,Cassia Park,,18.020288,-76.80794200000001,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Three Oaks/ Glendale,Three Oaks/ Glendale,,18.030895,-76.825648,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Whitfield Town,Whitfield Town,,17.994701,-76.80722,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Cherry Gardens,Cherry Gardens,,18.043437,-76.77693199999999,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Half-Way-Tree,Half-Way-Tree,,18.00231,-76.79209300000001,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Boucher Park,Boucher Park,,18.062488000000002,-76.75845699999999,Saint Andrew,5854.5,1,5,0.25,0.47365475,0.16092591706967635
Molynes Four Roads,Molynes Four Roads,,18.012709,-76.80166899999999,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Hope Pastures/ UTECH,Hope Pastures/ UTECH,,18.018682000000002,-76.744474,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Eastwood Park Gardens,Eastwood Park Gardens,,18.015456,-76.798445,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
August Town,August Town,,17.993023,-76.74086700000001,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Golden Spring,Golden Spring,,18.09016,-76.801451,Saint Andrew,5854.5,1,5,0.25,0.47365475,0.16092591706967635
Cockburn Gardens,Cockburn Gardens,,18.011768,-76.823082,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Molynes Gardens,Molynes Gardens,,18.034608,-76.817314,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Duhaney Park,Duhaney Park,,18.029629,-76.850474,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Oaklands,Oaklands,,18.035682,-76.79604300000001,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Hughenden,Hughenden,,18.031415,-76.818395,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Marverley,Marverley,,18.014311,-76.809026,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Richmond Park,Richmond Park,,18.005164,-76.81154599999999,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Forest Hills/ Plantation Height,Forest Hills/ Plantation Height,,18.041663,-76.856527,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Jones Town,Jones Town,,17.986069,-76.79784599999999,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Arlene Gardens,Arlene Gardens,,18.036973,-76.824646,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Queensborough/ Tunbridge,Queensborough/ Tunbridge,,18.040034,-76.825525,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
