Source,Target,Type,Weight,Latitude,Longitude,Parish,Population
Osbourne Store,Croft's Hill,Undirected,1,17.97,77.33,Clarendon,"3,390"
Osbourne Store,Frankfield,Undirected,1,17.97,77.33,Clarendon,"3,390"
Osbourne Store,Hayes,Undirected,1,17.97,77.33,Clarendon,"3,390"
Osbourne Store,Kellits,Undirected,1,17.97,77.33,Clarendon,"3,390"
Petersfield,Anchovy,Undirected,1,18.25,78.07,Westmoreland,"2,045"
Petersfield,Bethel Town,Undirected,1,18.25,78.07,Westmoreland,"2,045"
Petersfield,Bluefields,Undirected,1,18.25,78.07,Westmoreland,"2,045"
Petersfield,Cambridge,Undirected,1,18.25,78.07,Westmoreland,"2,045"
Petersfield,Cascade,Undirected,1,18.25,78.07,Westmoreland,"2,045"
Point Hill,Above Rocks,Undirected,1,18.08,77.1,Saint Catherine,"3,651"
Point Hill,Bog Walk,Undirected,1,18.08,77.1,Saint Catherine,"3,651"
Point Hill,Chapelton,Undirected,1,18.08,77.1,Saint Catherine,"3,651"
Point Hill,Croft's Hill,Undirected,1,18.08,77.1,Saint Catherine,"3,651"
Point Hill,Ewarton,Undirected,1,18.08,77.1,Saint Catherine,"3,651"
Port Antonio,Bath,Undirected,1,18.16,76.38,Portland,"13,246"
Port Antonio,Hope Bay,Undirected,1,18.16,76.38,Portland,"13,246"
Port Antonio,Manchioneal,Undirected,1,18.16,76.38,Portland,"13,246"
Port Antonio,Moore Town,Undirected,1,18.16,76.38,Portland,"13,246"
Port Maria,Annotto Bay,Undirected,1,18.37,76.89,Saint Mary,"7,651"
Port Maria,Gayle,Undirected,1,18.37,76.89,Saint Mary,"7,651"
Port Maria,Guy's Hill,Undirected,1,18.37,76.89,Saint Mary,"7,651"
Port Maria,Highgate,Undirected,1,18.37,76.89,Saint Mary,"7,651"
Port Maria,Islington,Undirected,1,18.37,76.89,Saint Mary,"7,651"
Port Royal,Above Rocks,Undirected,1,17.93,76.85,Kingston,"3,004"
Port Royal,Constant Spring,Undirected,1,17.93,76.85,Kingston,"3,004"
Port Royal,Gordon Town,Undirected,1,17.93,76.85,Kingston,"3,004"
Port Royal,Kingston,Undirected,1,17.93,76.85,Kingston,"3,004"
Port Royal,Mavis Bank,Undirected,1,17.93,76.85,Kingston,"3,004"
Portmore,Above Rocks,Undirected,1,17.9499,76.8799,Saint Catherine,"90,138"
Portmore,Bog Walk,Undirected,1,17.9499,76.8799,Saint Catherine,"90,138"
Portmore,Constant Spring,Undirected,1,17.9499,76.8799,Saint Catherine,"90,138"
Portmore,Gordon Town,Undirected,1,17.9499,76.8799,Saint Catherine,"90,138"
Portmore,Kingston,Undirected,1,17.9499,76.8799,Saint Catherine,"90,138"
Porus,Alligator Pond,Undirected,1,18.03,77.42,Manchester,"5,095"
Porus,Bull Savanna,Undirected,1,18.03,77.42,Manchester,"5,095"
Porus,Chapelton,Undirected,1,18.03,77.42,Manchester,"5,095"
Porus,Christiana,Undirected,1,18.03,77.42,Manchester,"5,095"
Race Course,Hayes,Undirected,1,17.83,77.28,Clarendon,"2,589"
Race Course,Lionel Town,Undirected,1,17.83,77.28,Clarendon,"2,589"
Race Course,May Pen,Undirected,1,17.83,77.28,Clarendon,"2,589"
Race Course,Old Harbour,Undirected,1,17.83,77.28,Clarendon,"2,589"
Race Course,Old Harbour Bay,Undirected,1,17.83,77.28,Clarendon,"2,589"
Richmond,Above Rocks,Undirected,1,18.23,76.9,Saint Mary,"1,984"
Richmond,Annotto Bay,Undirected,1,18.23,76.9,Saint Mary,"1,984"
Richmond,Bog Walk,Undirected,1,18.23,76.9,Saint Mary,"1,984"
Richmond,Buff Bay,Undirected,1,18.23,76.9,Saint Mary,"1,984"
Richmond,Constant Spring,Undirected,1,18.23,76.9,Saint Mary,"1,984"
Rio Bueno,Brown's Town,Undirected,1,18.57,77.45,Trelawny,"1,108"
Rio Bueno,Clark's Town,Undirected,1,18.57,77.45,Trelawny,"1,108"
Rio Bueno,Discovery Bay (Dry Harbour),Undirected,1,18.57,77.45,Trelawny,"1,108"
Rio Bueno,Duncans,Undirected,1,18.57,77.45,Trelawny,"1,108"
Riversdale,Above Rocks,Undirected,1,18.15,76.97,Saint Catherine,"2,791"
Riversdale,Annotto Bay,Undirected,1,18.15,76.97,Saint Catherine,"2,791"
Riversdale,Bog Walk,Undirected,1,18.15,76.97,Saint Catherine,"2,791"
Riversdale,Constant Spring,Undirected,1,18.15,76.97,Saint Catherine,"2,791"
Riversdale,Ewarton,Undirected,1,18.15,76.97,Saint Catherine,"2,791"
Rocky Point,Hayes,Undirected,1,17.77,77.27,Clarendon,"2,744"
Rocky Point,Lionel Town,Undirected,1,17.77,77.27,Clarendon,"2,744"
Rocky Point,May Pen,Undirected,1,17.77,77.27,Clarendon,"2,744"
Rocky Point,Old Harbour,Undirected,1,17.77,77.27,Clarendon,"2,744"
Rocky Point,Old Harbour Bay,Undirected,1,17.77,77.27,Clarendon,"2,744"
Runaway Bay,Alexandria,Undirected,1,18.45,77.33,Saint Ann,"5,655"
Runaway Bay,Bamboo,Undirected,1,18.45,77.33,Saint Ann,"5,655"
Runaway Bay,Brown's Town,Undirected,1,18.45,77.33,Saint Ann,"5,655"
Runaway Bay,Cave Valley,Undirected,1,18.45,77.33,Saint Ann,"5,655"
Runaway Bay,Claremont,Undirected,1,18.45,77.33,Saint Ann,"5,655"
Saint Ann's Bay,Alexandria,Undirected,1,18.44,77.22,Saint Ann,"10,961"
Saint Ann's Bay,Bamboo,Undirected,1,18.44,77.22,Saint Ann,"10,961"
