Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight
Hatfield,Hatfield,,18.030429,-77.536146,Manchester,9989.5,3,5,0.25
Mandeville Proper,Mandeville Proper,,18.036775,-77.505284,Manchester,9989.5,3,5,0.25
Newport,Newport,,17.92865,-77.516319,Manchester,9989.5,3,5,0.25
Knockpatrick,Knockpatrick,,17.993635,-77.507477,Manchester,9989.5,3,5,0.25
New Green,New Green,,18.05352,-77.510796,Manchester,9989.5,3,5,0.25
Royal Flat,Royal Flat,,18.056782,-77.471631,Manchester,9989.5,3,5,0.25
Part of Spaldings,Part of Spaldings,,18.15773,-77.45729,Manchester,9989.5,5,5,0.25
Central Port Antonio,Central Port Antonio,,18.171276,-76.447632,Portland,4130,4,5,0.25
Windsor Forest,Windsor Forest,,18.116477,-76.334472,Portland,4130,4,5,0.25
Norwich,Norwich,,18.19427,-76.475662,Portland,4130,4,5,0.25
Mona Heights,Mona Heights,,18.014149,-76.752409,Saint Andrew,5854.5,0,5,0.25
Seaward Pen,Seaward Pen,,18.02154,-76.820663,Saint Andrew,5854.5,0,5,0.25
Bull Bay/ Seven Mile,Bull Bay/ Seven Mile,,17.942921,-76.66726,Saint Andrew,5854.5,0,5,0.25
Delacree Park/ Union Gardens,Delacree Park/ Union Gardens,,17.989284,-76.817218,Saint Andrew,5854.5,0,5,0.25
University,University,,18.006013,-76.747103,Saint Andrew,5854.5,0,5,0.25
Harbour View,Harbour View,,17.952329,-76.719222,Saint Andrew,5854.5,0,5,0.25
Red Hills (Rural),Red Hills (Rural),,18.058326,-76.85372,Saint Andrew,5854.5,0,5,0.25
Norbrook,Norbrook,,18.055455,-76.782702,Saint Andrew,5854.5,1,5,0.25
Lawrence Tavern,Lawrence Tavern,,18.127907,-76.846409,Saint Andrew,5854.5,1,5,0.25
Delacree Pen,Delacree Pen,,17.995495,-76.818756,Saint Andrew,5854.5,0,5,0.25
Greenwich Town/ Newport West,Greenwich Town/ Newport West,,17.96757,-76.804737,Saint Andrew,5854.5,0,5,0.25
Tower Hill,Tower Hill,,18.010439,-76.829911,Saint Andrew,5854.5,0,5,0.25
Trench Town,Trench Town,,17.98579,-76.804335,Saint Andrew,5854.5,0,5,0.25
Waterhouse,Waterhouse,,18.028568,-76.843746,Saint Andrew,5854.5,0,5,0.25
Grants Pen,Grants Pen,,18.031638,-76.790952,Saint Andrew,5854.5,0,5,0.25
Whitehall,Whitehall,,18.038067,-76.809234,Saint Andrew,5854.5,0,5,0.25
Havendale,Havendale,,18.051639,-76.811546,Saint Andrew,5854.5,1,5,0.25
Barbican,Barbican,,18.025612,-76.771163,Saint Andrew,5854.5,0,5,0.25
Cavaliers,Cavaliers,,18.094858,-76.835327,Saint Andrew,5854.5,1,5,0.25
Roehampton,Roehampton,,18.042897,-76.80758,Saint Andrew,5854.5,0,5,0.25
Cross Roads,Cross Roads,,17.992832,-76.790635,Saint Andrew,5854.5,0,5,0.25
Pembroke Hall,Pembroke Hall,,18.029593,-76.828849,Saint Andrew,5854.5,0,5,0.25
Kencot,Kencot,,18.002619,-76.795682,Saint Andrew,5854.5,0,5,0.25
Vineyard Town,Vineyard Town,,17.989808,-76.778375,Saint Andrew,5854.5,0,5,0.25
Hope Tavern,Hope Tavern,,18.014586,-76.740749,Saint Andrew,5854.5,0,5,0.25
