Id,Label,timeset,lat,long,parish,population,modularity_class,Degree
Spanish Town Central,Spanish Town Central,,18.019317,-76.975827,Saint Catherine,,4,5
Cromarty,Cromarty,,17.9827,-76.971507,Saint Catherine,,4,5
Hellshire,Hellshire,,17.897913,-76.894074,Saint Catherine,,4,5
Greater Portmore,Greater Portmore,,17.94798,-76.909565,Saint Catherine,,4,5
Bogwalk,Bogwalk,,18.105767,-77.007506,Saint Catherine,,4,6
Hampton Green,Hampton Green,,18.002845,-76.968627,Saint Catherine,,4,5
Sligoville,Sligoville,,18.093398,-76.975667,Saint Catherine,,4,5
Greendale,Greendale,,17.996237,-76.945172,Saint Catherine,,4,5
Ensom,Ensom,,18.011945,-76.963586,Saint Catherine,,4,5
Naggo Head,Naggo Head,,17.968093,-76.885067,Saint Catherine,,4,5
Willowdene,Willowdene,,17.995106,-76.983028,Saint Catherine,,4,5
Golden Acres,Golden Acres,,18.022518,-76.978427,Saint Catherine,,4,5
Bridgeport,Bridgeport,,17.96189,-76.879303,Saint Catherine,,4,5
Gregory Park,Gregory Park,,17.998693,-76.886508,Saint Catherine,,4,5
Old Harbour Road,Old Harbour Road,,17.980318,-76.998926,Saint Catherine,,4,5
Central Village,Central Village,,18.000664,-76.915328,Saint Catherine,,4,5
Waterford,Waterford,,17.98744,-76.870655,Saint Catherine,,4,5
Keystone,Keystone,,18.018513,-76.942701,Saint Catherine,,4,5
St. John's East,St. John's East,,18.005143,-76.966906,Saint Catherine,,4,5
Troja,Troja,,18.208967,-76.922532,Saint Catherine,,8,7
Crescent,Crescent,,18.008796,-77.00368,Saint Catherine,,4,5
Cumberland,Cumberland,,17.97661,-76.882185,Saint Catherine,,4,5
Passage Fort,Passage Fort,,17.981236,-76.864889,Saint Catherine,,4,5
Edgewater,Edgewater,,17.964203,-76.870655,Saint Catherine,,4,5
Independence City,Independence City,,17.982148,-76.881187,Saint Catherine,,4,5
Glengoffe,Glengoffe,,18.141852,-76.887229,Saint Catherine,,8,6
Treasure Beach,Treasure Beach,,17.881749,-77.759513,Saint Elizabeth,,6,9
Bigwoods,Bigwoods,,17.937066,-77.713731,Saint Elizabeth,,6,11
Slipe,Slipe,,18.046656,-77.788118,Saint Elizabeth,,6,12
Rose Hall,Rose Hall,,17.931334,-77.646955,Saint Elizabeth,,6,7
